horizon,rmse,mae,pe,r2,lc,bias,uncertainty_factor,skill_vs_persistence,skill_vs_climatology,pod,far,pofd,csi,f1,hss,tss,n_hits,n_misses,n_false_alarms,n_correct_neg,roc_auc,brier,bss,pinball_0.1,pinball_0.5,pinball_0.9,crps,picp,picp_nominal
nowcast,0.17762629244645992,0.14391504991987739,0.9459313060064924,0.9459313060064924,0.9726067011500679,-0.000926585698669607,1.5053111983096021,0.016780373367036083,0.9553855744354597,0.9224806201550387,0.08812260536398467,0.04307116104868914,0.8469750889679716,0.9171483622350675,0.8767747818158135,0.8794094591063496,238.0,20.0,23.0,511.0,0.9899761925500101,0.038451785727437314,0.8249323453057571,0.029190072774736568,0.07195752495993869,0.03193716949811487,0.08872317815519341,0.8308080808080808,0.8
6h,0.4711603079218149,0.403840969871692,0.6101704213525238,0.6101704213525238,0.7822222737642425,-0.00855739162576319,2.959104537437547,0.19521710794288827,0.6578327073641417,0.5720338983050848,0.4155844155844156,0.17266187050359713,0.4066265060240964,0.5781584582441114,0.4018218623481781,0.3993720278014876,135.0,101.0,96.0,460.0,0.8507194244604317,0.1506939225360153,0.27962388256286497,0.0735544954849915,0.201920484935846,0.0786589965638187,0.2360893179897708,0.7765151515151515,0.8
12h,0.5134259406065842,0.41876272830848743,0.5422222552715851,0.5422222552715851,0.7393724953349329,-0.03759575082045613,3.2615642683052943,0.49202966168485773,0.6331353581454633,0.4978165938864629,0.3770491803278688,0.12255772646536411,0.3825503355704698,0.5533980582524272,0.399035011753062,0.37525886742109876,114.0,115.0,69.0,494.0,0.8150193520364237,0.1592294961366429,0.22530633098842645,0.08412306834426192,0.20938136415424372,0.09128638655323572,0.2565272127011609,0.8535353535353535,0.8
