horizon,rmse,mae,pe,r2,lc,bias,uncertainty_factor,skill_vs_persistence,skill_vs_climatology,pod,far,pofd,csi,f1,hss,tss,n_hits,n_misses,n_false_alarms,n_correct_neg,roc_auc,brier,bss,pinball_0.1,pinball_0.5,pinball_0.9,crps,picp,picp_nominal
nowcast,1.0652976940233632,0.8577156289283073,-0.9447928602085729,-0.9447928602085729,0.04424396170732894,0.003810847460320502,11.622450200908103,-34.365354120118624,-0.6047329774720183,0.2364341085271318,0.7607843137254902,0.36329588014981273,0.13495575221238937,0.2378167641325536,-0.12724413576202329,-0.12686177162268095,61.0,197.0,194.0,340.0,0.44599410620445373,0.4716685662769984,-1.14746618730348,0.36448632144943033,0.42884705559999653,0.36535659324415404,0.7724599801957206,0.1148989898989899,0.8
6h,1.0347757134869315,0.8119177978975002,-0.8803117021111555,-0.8803117021111555,0.09021804891891194,0.043652407561588766,10.833672766480959,-2.8818057235268815,-0.6504164888029385,0.3474576271186441,0.6784313725490196,0.31115107913669066,0.20048899755501223,0.3340122199592668,0.03548444762245255,0.03630654798195343,82.0,154.0,173.0,383.0,0.5488431288867212,0.3886690597433179,-0.8579907106666305,0.35504626891001906,0.405946633637403,0.32966364433593826,0.7271043645889068,0.11616161616161616,0.8
12h,0.9625946340187268,0.7235285616056486,-0.6091107385669647,-0.6091107385669647,0.2130477348574385,0.0774380655375996,9.174758342370755,-0.7855401134481002,-0.2895468196228723,0.4585152838427948,0.58984375,0.2682060390763766,0.27631578947368424,0.4329896907216495,0.18387841362151144,0.1903092447664182,105.0,124.0,151.0,412.0,0.5900044211065176,0.3243654150735087,-0.5781236492020236,0.3282641677355224,0.36175290113220915,0.2828519924233357,0.6485793741940449,0.2335858585858586,0.8
