horizon,rmse,mae,pe,r2,lc,bias,uncertainty_factor,skill_vs_persistence,skill_vs_climatology,pod,far,pofd,csi,f1,hss,tss,n_hits,n_misses,n_false_alarms,n_correct_neg,roc_auc,brier,bss,pinball_0.1,pinball_0.5,pinball_0.9,crps,picp,picp_nominal
nowcast,0.1791356324544563,0.14550195965501997,0.9450085285841314,0.9450085285841314,0.9725651402335392,0.0042609827536525145,1.5105518338012134,0.0,0.9546241507430823,0.9302325581395349,0.09433962264150944,0.04681647940074907,0.8480565371024735,0.9177820267686424,0.8772650607620118,0.8834160787387858,240.0,18.0,25.0,509.0,0.941708039369393,0.054292929292929296,0.752808988764045,0.07445537292897099,0.07275097982750998,0.07104658672604898,0.14550195965501997,0.0,0.8
6h,0.525205577036495,0.4574005285447294,0.5156090139403562,0.5156090139403562,0.7627497579497614,0.04199300149474481,3.3512403546925715,0.0,0.5748327952632766,0.6398305084745762,0.43018867924528303,0.20503597122302158,0.43142857142857144,0.6027944111776448,0.41994464727358377,0.43479453725155465,151.0,85.0,114.0,442.0,0.7173972686257774,0.25126262626262624,-0.20113400804779902,0.24549746487026264,0.2287002642723647,0.2119030636744668,0.4574005285447294,0.0,0.8
12h,0.7203749968425128,0.6315574457850119,0.09881008752048048,0.09881008752048048,0.5580772851318213,0.07573011479895524,5.2526080731806815,0.0,0.2777833385481344,0.4366812227074236,0.6226415094339622,0.29307282415630553,0.25380710659898476,0.4048582995951417,0.13721014680707583,0.14360839855111807,100.0,129.0,165.0,398.0,0.571804199275559,0.3712121212121212,-0.806045281438333,0.34607076881208804,0.31577872289250597,0.28548667697292385,0.6315574457850119,0.0,0.8
