horizon,rmse,mae,pe,r2,lc,bias,uncertainty_factor,skill_vs_persistence,skill_vs_climatology,pod,far,pofd,csi,f1,hss,tss,n_hits,n_misses,n_false_alarms,n_correct_neg,roc_auc,brier,bss,pinball_0.1,pinball_0.5,pinball_0.9,crps,picp,picp_nominal
nowcast,0.13452248219312204,0.10661471119583255,0.9689886178989081,0.9689886178989081,0.9845264623513315,0.0006655209669561098,1.3630835673502966,0.4360692430546034,0.9744111629815062,0.9418604651162791,0.05078125,0.024344569288389514,0.8966789667896679,0.9455252918287937,0.9193576540408448,0.9175158958278896,243.0,15.0,13.0,521.0,0.9942804053073193,0.03630058139863533,0.8347265925555731,0.0269174245308445,0.05330735559791627,0.025843291334582096,0.07071204764222859,0.6616161616161617,0.8
6h,0.18260418651522917,0.1463637685760705,0.9414456916868704,0.9414456916868704,0.9718563083910493,-0.01603504657895878,1.5226643736887278,0.8791176756003473,0.9486048000329218,0.885593220338983,0.06696428571428571,0.02697841726618705,0.8326693227091634,0.908695652173913,0.8713649300829105,0.858614803072796,209.0,27.0,15.0,541.0,0.9828450798683087,0.05288493828524788,0.7471892305164177,0.03434781942027386,0.07318188428803525,0.03789701018896368,0.09695114259818187,0.5416666666666666,0.8
12h,0.2032643299213913,0.16041299298104614,0.9282500825556024,0.9282500825556024,0.9665529230067066,-0.03672405787640148,1.5968507621836112,0.9203831329547553,0.9424993720873263,0.8253275109170306,0.05025125628140704,0.017761989342806393,0.7907949790794979,0.883177570093458,0.8402156282027486,0.8075655215742242,189.0,40.0,10.0,553.0,0.9837815197747563,0.04786253952706862,0.7671360692957475,0.035784885599607165,0.08020649649052307,0.053887596835542215,0.11325265261711497,0.47474747474747475,0.8
